model	fraud_prop	normalized	time	accuracy	tp	tn	fp	fn		
logReg	1	0	3.7	0.909783366	1071	5774726	572627	117		
gaussian	1	0	15	0.490696996	1017	3114193	3233160	171		
decision_tree	1	0	3.8	0.989097337	1182	6278143	69210	6		
svm	1	0	65.7	0.001809235	1188	10298	6337055	0		
logReg	2	0	4	0.943407247	1055	5981563	358703	180		
gaussian	2	0	20.6	0.508628005	1058	3224407	3115859	177		
decision_tree	2	0	4.3	0.993405347	1228	6298453	41813	7		
svm	2	0	65.9	0.002322479	1235	13493	6326773	0		
logReg	3	0	4	0.955931538	988	6054324	278963	187		
gaussian	3	0	25.2	0.504588866	1036	3195263	3138024	139		
decision_tree	3	0	3.9	0.995073457	1171	6302084	31203	4		
svm	3	0	62.1	0.002351423	1175	13720	6319567	0		
logReg	4	0	3.7	0.970750015	986	6141359	184844	233		
gaussian	4	0	32.4	0.738452722	752	4671750	1654453	467		
decision_tree	4	0	3.9	0.996206986	1196	6302226	23977	23		
svm	4	0	62.2	0.001916104	1219	10905	6315298	0		
logReg	1	1	0.2	0.501029903	0	7054	0	7025		
gaussian	1	1	9.1	0.498970097	7025	0	7054	0		
decision_tree	1	1	0.1	0.498970097	7025	0	7054	0		
svm	1	1	0.3	0.534057817	3501	4018	3036	3524		
logReg	2	1	0.2	0.669586628	0	14141	0	6978		
gaussian	2	1	14.3	0.330413372	6978	0	14141	0		
decision_tree	2	1	0.1	0.330413372	6978	0	14141	0		
svm	2	1	0.5	0.330413372	6978	0	14141	0		
logReg	3	1	0.3	0.750053271	0	21120	0	7038		
gaussian	3	1	19	0.249946729	7038	0	21120	0		
decision_tree	3	1	0.2	0.249946729	7038	0	21120	0		
svm	3	1	0.6	0.249946729	7038	0	21120	0		
logReg	4	1	0.4	0.801295528	0	28204	0	6994		
gaussian	4	1	25.3	0.164185465	3495	2284	25920	3499		
decision_tree	4	1	0.2	0.198704472	6994	0	28204	0		
svm	4	1	0.7	0.801295528	0	28204	0	6994		
										
										
fraud_prop	normalized	x	y	z	time	accuracy	tp	tn	fp	fn
20	1	256	64	2	67.4	0.00018713	1188	0	6347353	0
20	1	256	256	2	92.6	0.00018713	1188	0	6347353	0
20	1	512	64	2	108.8	0.00018713	1188	0	6347353	0
20	1	256	64	2	10.5	0.501029903	0	7054	0	7025
20	1	256	256	2	16.7	0.501029903	0	7054	0	7025
20	1	512	64	2	14.9	0.501029903	0	7054	0	7025
20	1	256	64	2	67.5	0.999805251	0	6340266	0	1235
20	1	256	256	2	101.8	0.999805251	0	6340266	0	1235
20	1	512	64	2	119.4	0.999805251	0	6340266	0	1235
20	1	256	64	2	13.2	0.669586628	0	14141	0	6978
20	1	256	256	2	23.4	0.669586628	0	14141	0	6978
20	1	512	64	2	21.2	0.669586628	0	14141	0	6978
20	1	256	64	2	82.2	0.999814507	0	6333287	0	1175
20	1	256	256	2	98.2	0.999814507	0	6333287	0	1175
20	1	512	64	2	117.2	0.999814507	0	6333287	0	1175
20	1	256	64	2	20.4	0.750053271	0	21120	0	7038
20	1	256	256	2	27.2	0.750053271	0	21120	0	7038
20	1	512	64	2	26.5	0.750053271	0	21120	0	7038
20	1	256	64	2	68.1	0.999807346	0	6326203	0	1219
20	1	256	256	2	99.2	0.999807346	0	6326203	0	1219
20	1	512	64	2	88.4	0.999807346	0	6326203	0	1219
20	1	256	64	2	25.7	0.801295528	0	28204	0	6994
20	1	256	256	2	35.8	0.801295528	0	28204	0	6994
20	1	512	64	2	37.1	0.801295528	0	28204	0	6994
